"SampleID","PCoA1","PCoA2","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Dataset"
"7WLC1B",0.114924295364208,0.122285712107178,"Pot-7","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"7WLC2B",0.0894990136245942,0.18539636786279,"Pot-7","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"81DLH1B",-0.23144055023148,-0.00846358932331505,"Pot-81","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"81DLH2B",-0.300747257901196,-0.0275429447994212,"Pot-81","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"82DLH1B",-0.233496922754672,-0.0184485713997448,"Pot-82","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"82DLH2B",-0.335202947965127,-0.0483038792856605,"Pot-82","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"83DLH1B",-0.303454865878658,-0.0593215190479636,"Pot-83","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"83DLH2B",-0.256940061522318,0.00785326084652455,"Pot-83","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"84DLH1B",-0.247135885614815,0.0120827622651487,"Pot-84","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"84DLH2B",-0.31809505490156,-0.0881504671188188,"Pot-84","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"85DLH1B",-0.296000562982649,0.00189042307239787,"Pot-85","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"85DLH2B",-0.22229110112422,0.0302178914653762,"Pot-85","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"86DLH1B",-0.27237047565108,-0.0052509328045453,"Pot-86","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"86DLH2B",-0.204790454476918,0.058100344198289,"Pot-86","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"87DLH1B",-0.185801076792079,0.0190401279290096,"Pot-87","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"87DLH2B",-0.243574305177926,0.006529993902463,"Pot-87","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"88DLH1B",-0.242215309650215,-0.0254059154602546,"Pot-88","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"89DLH1B",-0.343436577663288,-0.131481676671996,"Pot-89","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"89DLH2B",-0.334242853194274,-0.0578404930098547,"Pot-89","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"8WLC1B",0.170335570027052,0.020659991222491,"Pot-8","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"8WLC2B",0.113521883678131,0.0631834256595833,"Pot-8","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"90DLH1B",-0.30433135078377,-0.0516064388437122,"Pot-90","Dry","Low","Heterospecific",1,"Bacteria","Bacteria"
"90DLH2B",-0.33753901311038,-0.0886944459014284,"Pot-90","Dry","Low","Heterospecific",2,"Bacteria","Bacteria"
"96DHC1B",-0.310267260127638,-0.125882520081446,"Pot-96","Dry","High","Conspecific",1,"Bacteria","Bacteria"
"96DHC2B",-0.281901316319816,-0.164979315277649,"Pot-96","Dry","High","Conspecific",2,"Bacteria","Bacteria"
"97DHC1B",-0.267866120257434,-0.118326550394845,"Pot-97","Dry","High","Conspecific",1,"Bacteria","Bacteria"
"97DHC2B",-0.290262279168486,-0.124396855728848,"Pot-97","Dry","High","Conspecific",2,"Bacteria","Bacteria"
"98DHC1B",-0.292983127624474,-0.0588181148004994,"Pot-98","Dry","High","Conspecific",1,"Bacteria","Bacteria"
"98DHC2B",-0.355494513682465,-0.140344975552057,"Pot-98","Dry","High","Conspecific",2,"Bacteria","Bacteria"
"9WLC1B",0.0576558843780642,0.158681072147302,"Pot-9","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"9WLC2B",0.107613155777461,0.110719714880512,"Pot-9","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
