"ASV","rho","Domain","Phylum","Class","Order","Family","Genus"
"b7f05e8ab7384604f9095ed710eb7d02",0.0171504278251798,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",""
"ca2d3ea0de616beb67304336aedb4bad",0.250585395064272,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","uncultured","uncultured"
"5b03a68ed13d0eb695936c680348e7a5",-0.0377655372858595,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group"
"a6049b4a4fab0ddc9e79c25cca64c1c8",-0.184698408972497,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",""
"b0ccfbdea468b68faaadca02d6e5b592",-0.070437494139377,"Bacteria","Chloroflexi","TK10","TK10","TK10","TK10"
"6d49cd126eec4daf6be808b6a1473860",0.0575900217246646,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"11e45056c9780b41e0cf5de8aa5e50ae",-0.0414713557048865,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Salinispora"
"01544f7c902db2113905f38d29d61f90",0.171811072700051,"Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales"
"88f63bc06c1b341e091037484dab82d1",-0.156325034125081,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","",""
"5e076338ed9c1b811bc36a836908ba20",0.256435189367045,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"69d1e0c15f066a2b74f6d8aff72f1c1d",-0.291887025095298,"Bacteria","","","","",""
"f31a422471a17f985f2363c5712f7a31",0.0141702236248629,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14"
"0578c02806b7c9afd963b1c5db28879a",-0.0615532432418776,"Bacteria","","","","",""
"398fd6ab0c90d9a8057d634caad94356",0.102864561152381,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14"
"a4c17a37bcc45359c797e5a936109cd5",-0.101288514526681,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured"
"5b0227204372820bd19eb79f38571439",-0.0755685795487079,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured"
"a7e5e4e72175bb546ba8b450f40503a1",0.104873326629984,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Jiella"
"8fc1616a6c442462acca121bb71dadb4",0.118501662938325,"Bacteria","Planctomycetota","Planctomycetes","uncultured","uncultured","uncultured"
"23587b4c0f0244ba226feb53b910bd4d",0.0918560879643836,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"484615f4f43e2215d9a7ead3ad91290d",0.258620724880346,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ab190b3067b11443f7e501b182888591",0.118017637675431,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",""
"980d546d1ced1ac05b10527ed082f635",0.0348640549654639,"Bacteria","Chloroflexi","Ktedonobacteria","C0119","C0119","C0119"
"11a963b2bc723a068e0a9810d307ab06",0.0747496545445678,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"49eaffd4b19996c6129a4de32ca7534b",0.246488305583025,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",""
"fd98d75497ed66f56b4c564b9fb216d4",-0.511480256525906,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea"
"c2dd2d075d7da643b52d46f8a14f6ad2",0.277503232387265,"Bacteria","Bacteroidota","Ignavibacteria","SJA-28","SJA-28","SJA-28"
"36209dbf49b2190a9f611aea36a35c37",0.0374648010011941,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9","RBG-13-54-9"
"46488e66a59af62ea97c7cefb524657b",0.250929511906674,"Bacteria","Proteobacteria","Alphaproteobacteria","","",""
"8348df9d24ba166c0cdfda39026a75fe",0.0748949016618499,"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Candidatus_Woesebacteria"
"67068090ff33b8009f17b2a8645493b4",0.220973263617143,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured"
"976559ca6a7e523c0973390c04df29a6",0.243466084554655,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","uncultured"
"e962a1bf4e8979456ac98a954bf3b5b6",0.0957983008180661,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured"
"c7b6b1b9a190ecf68165043cc79ef635",0.282057699406812,"Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae",""
"934b4af35e56b0bef2eb72b8d938b04d",0.361491678659782,"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Collierbacteria","Candidatus_Collierbacteria","Candidatus_Collierbacteria"
"84b0a2a8482e5f8986477120b857aa77",-0.171182181137705,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured"
"7966a22bafc7af084c1353cc5d187ce5",-0.191189978842867,"Bacteria","Chloroflexi","TK10","TK10","TK10","TK10"
"540f6e2b7012c38d8aeeef410b33b06a",-0.347750351409693,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola"
"37063428493b7faaa42a0fe954de736d",0.302592789029775,"Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae","Vampirovibrio"
"a606ebbfb0b3813ffb433e9fb8c14213",0.0752810541693788,"Bacteria","Actinobacteriota","Acidimicrobiia","","",""
"1092d548e0e00a69a0193b05624cd5ab",0.0101218224093282,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella"
"97ea51f69f947552911dcee90a04e70a",-0.116823371797165,"Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured","uncultured"
"bcef8a320b6141ee0a97b9f0490967dd",0.103116065795031,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","TRA3-20"
"e5544ec9902b2da57635c7c4fb21d2d2",0.0776018874186778,"Bacteria","Proteobacteria","Gammaproteobacteria","","",""
"d082d062d46ca7c96740ba82cb6e69c7",0.0771086054377297,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group"
"83ca4db18300bcf183d84168b38b5668",0.100403142116789,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured"
"f00e6b89dccb11d62839524fb79b669c",-0.0784354897108929,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","",""
"40ea332aa260f1eacacee19592ef5e7e",-0.15196791700672,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","",""
"cff36e8d370ad46a14f99aa776abd500",-0.153113822802634,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",""
"4dba1ca4fcd7f897711109da25311c92",-0.346614093184547,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncultured"
"310a338d7c259ef757bfc25497d38bf2",0.118516646432501,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"335df46ea2748f5e35f73204f793ba83",0.122793254787455,"Bacteria","Proteobacteria","Alphaproteobacteria","","",""
"1702493ac7a70b312de648f2de4f69b2",0.311924920471891,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",""
"ef409539f935ced86f4c2b5d8166278d",0.100946576204495,"Bacteria","Proteobacteria","Gammaproteobacteria","","",""
"c31fdbfefe2fafe00737fd1276b07137",0.00976632391188828,"Bacteria","Armatimonadota","uncultured","uncultured","uncultured","uncultured"
"9ccd66cf318ec538b3c4e4cd5b75680d",0.173871787570077,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",""
"ed3c39122d6c7145d56ea3c22d44008d",0.147270013244532,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"9f3dea5d0fe004b4828b1db6a994f32a",-0.0813722985623342,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"e1ca961a8750c671573c9d3b6e7c332c",-0.0854488522400576,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"d1f9e5e9226ebfab661c3a1c87b6767e",-0.0162019254808215,"Bacteria","","","","",""
"0f7fe763418668432a78be76b4d90946",0.260335916895707,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"16daf065d212c91368c97cd6b6b2d023",-0.00325544130396276,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured"
"6e14f3b73a7b23f80af1b20da1879073",0.37372636041602,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",""
"79fe16c3ebcd64bdf67e3316c637e8cc",0.0398510845624863,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured"
"aead0b66b21d50e668783890aa88da2e",0.41642617699622,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae",""
"815d333ce8f21c80d774171c25f2904c",-0.160142071584295,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"782b1695ceaaf8cbb0b4720d4a14fc16",0.236175856217659,"Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","Rokubacteriales","Rokubacteriales"
