"PathwayID","PathwayName","Class_L2","Class_L1"
"PWY-782","glycolipid desaturation","Lipid metabolism","Biosynthesis / cellular components"
"PWY-7820","teichuronic acid biosynthesis (B. subtilis 168)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-7821","tunicamycin biosynthesis","Other","Other"
"PWY-7822","chitin degradation III (Serratia)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-7823","chlorzoxazone degradation","Other","Other"
"PWY-7824","prunasin and amygdalin biosynthesis","Other","Other"
"PWY-7825","juglone degradation","Other","Other"
"PWY-7826","Amaryllidacea alkaloids biosynthesis","Other","Other"
"PWY-7828","cyclobis-(1&rarr;6)-&alpha;-nigerosyl degradation","Other","Other"
"PWY-7831","ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide","Other","Other"
"PWY-7832","ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide","Other","Other"
"PWY-7833","biosynthesis of Lewis epitopes (H. pylori)","Other","Other"
"PWY-7835","superpathway of glycosphingolipids biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-7836","ganglio-series glycosphingolipids biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-7837","i antigen and I antigen biosynthesis","Other","Other"
"PWY-7838","globo-series glycosphingolipids biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-7839","lacto-series glycosphingolipids biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-7840","gala-series glycosphingolipids biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-7841","neolacto-series glycosphingolipids biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-7842","UDP-yelosamine biosynthesis","Other","Other"
"PWY-7843","heme degradation IV","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7844","heme degradation III","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7845","heme degradation II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7846","heme degradation V","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7847","heme degradation VI","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7848","heme degradation VII","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7849","urate conversion to allantoin III","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-7850","taurine biosynthesis II","Other","Other"
"PWY-7851","coenzyme A biosynthesis II (eukaryotic)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7852","6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-7853","6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-7854","crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)","Energy / central carbon metabolism","Energy metabolism"
"PWY-7855","ectoine degradation","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-7856","heme a biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7857","adlupulone and adhumulone biosynthesis","Other","Other"
"PWY-7858","(5Z)-dodecenoate biosynthesis II","Lipid metabolism","Biosynthesis / cellular components"
"PWY-7859","jasmonoyl-L-isoleucine inactivation","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-7860","nitric oxide biosynthesis III (bacteria)","Other","Other"
"PWY-7861","N-hydroxy-L-pipecolate biosynthesis","Other","Other"
"PWY-7862","D-altritol and galactitol degradation","Other","Other"
"PWY-7863","roseoflavin biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7864","8-methylmenaquinone biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7865","coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7866","coenzyme B/coenzyme M regeneration III (coenzyme F420-dependent)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7867","coenzyme B/coenzyme M regeneration IV (H2-dependent)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7868","coenzyme B/coenzyme M regeneration V (formate-dependent)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7869","cis-alkene biosynthesis","Other","Other"
"PWY-7870","L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-7871","D-threonate degradation","Other","Other"
"PWY-7872","D-erythronate degradation I","Other","Other"
"PWY-7873","D-erythronate degradation II","Other","Other"
"PWY-7874","L-threonate degradation","Other","Other"
"PWY-7878","A-factor &gamma;-butyrolactone biosynthesis","Other","Other"
"PWY-7880","coelimycin P1 biosynthesis","Other","Other"
"PWY-7881","virginiae butanolide type &gamma;-butyrolactones biosynthesis","Other","Other"
"PWY-7882","IM-2 type &gamma;-butyrolactones biosynthesis","Other","Other"
"PWY-7883","anhydromuropeptides recycling II","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-7884","lipoprotein posttranslational modification","Other","Other"
"PWY-7885","phosphatidylinositol mannoside biosynthesis","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-7886","cell-surface glycoconjugate-linked phosphocholine biosynthesis","Other","Other"
"PWY-7887","protein SAMPylation and SAMP-mediated thiolation","Other","Other"
"PWY-7888","tRNA-uridine 2-thiolation (cytoplasmic)","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-7889","tRNA-uridine 2-thiolation (mammalian mitochondria)","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-7891","tRNA-uridine 2-thiolation (yeast mitochondria)","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-7892","tRNA-uridine 2-thiolation and selenation (bacteria)","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-7893","protein Pupylation and dePupylation","Other","Other"
"PWY-7894","procollagen hydroxylation and glycosylation","Other","Other"
"PWY-7895","ethionamide activation","Other","Other"
"PWY-7896","isoniazid activation","Other","Other"
"PWY-7897","flavonoid di-C-glucosylation","Other","Other"
"PWY-7898","4,4'-disulfanediyldibutanoate degradation","Other","Other"
"PWY-7899","protein NEDDylation","Other","Other"
"PWY-7900","glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-7901","glucosinolate biosynthesis from tyrosine","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-7902","glucosylglycerol biosynthesis","Other","Other"
"PWY-7904","tRNA-uridine 2-thiolation (thermophilic bacteria)","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-7905","Escherichia coli serotype O9a O-antigen biosynthesis","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-7906","rhizobitoxine biosynthesis","Other","Other"
"PWY-7907","(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis","Other","Other"
"PWY-7908","formaldehyde oxidation V (bacillithiol-dependent)","Energy / central carbon metabolism","Energy metabolism"
"PWY-7909","formaldehyde oxidation VII (THF pathway)","Energy / central carbon metabolism","Energy metabolism"
"PWY-7910","homofuraneol biosynthesis","Other","Other"
"PWY-7911","6'-dechloromelleolide F biosynthesis","Other","Other"
"PWY-7912","dinoflagellate bioluminescence","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-7913","firefly bioluminescence","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-7914","coral bioluminescence","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-7915","jellyfish bioluminescence","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-7916","squid bioluminescence","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-7917","pheomelanin biosynthesis","Other","Other"
"PWY-7918","protein N-glycosylation processing phase (yeast)","Other","Other"
"PWY-7919","protein N-glycosylation processing phase (plants and animals)","Other","Other"
"PWY-7920","complex N-linked glycan biosynthesis (plants)","Other","Other"
"PWY-7921","protein O-mannosylation I (yeast)","Other","Other"
"PWY-7922","protein O-mannosylation II (mammals, core M1 and core M2)","Other","Other"
"PWY-7923","archaeosine biosynthesis II","Other","Other"
"PWY-7924","rubber degradation I","Other","Other"
"PWY-7925","rubber degradation II","Other","Other"
"PWY-7926","carbon disulfide oxidation III (metazoa)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-7927","sulfide oxidation IV (mitochondria)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-7928","nickel cofactor biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7929","polybrominated phenols biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-7930","pyoluteorin biosynthesis","Other","Other"
"PWY-7931","brominated pyrroles biosynthesis","Other","Other"
"PWY-7932","polybrominated biphenyls and diphenyl ethers biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-7933","superpathway of polybrominated aromatic compound biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-7934","polybrominated dihydroxylated diphenyl ethers biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-7935","spongiadioxin C biosynthesis","Other","Other"
"PWY-7936","psilocybin biosynthesis","Other","Other"
"PWY-7937","fungal bioluminescence","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-7938","isorenieratene biosynthesis I (actinobacteria)","Other","Other"
"PWY-7939","chlorobactene biosynthesis","Other","Other"
"PWY-7940","lauryl-hydroxychlorobactene glucoside biosynthesis","Other","Other"
"PWY-7941","isorenieratene biosynthesis II (Chlorobiaceae)","Other","Other"
"PWY-7942","5-oxo-L-proline metabolism","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-7943","lycopadiene biosynthesis","Other","Other"
"PWY-7944","bacterioruberin biosynthesis","Other","Other"
"PWY-7945","2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-&beta;,&beta;-carotene monoglucoside biosynthesis","Other","Other"
"PWY-7946","sarcinaxanthin diglucoside biosynthesis","Other","Other"
"PWY-7947","flexixanthin biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-7948","4-oxopentanoate degradation","Other","Other"
"PWY-7949","diadinoxanthin and diatoxanthin interconversion","Other","Other"
"PWY-7950","diadinoxanthin and fucoxanthin biosynthesis","Other","Other"
"PWY-7951","ellagic acid degradation to urolithins","Other","Other"
"PWY-7953","UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-7954","tabtoxinine-&beta;-lactam biosynthesis","Other","Other"
"PWY-7955","paerucumarin biosynthesis","Other","Other"
"PWY-7956","3-[(E)-2-isocyanoethenyl]-1H-indole biosynthesis","Other","Other"
"PWY-7957","hapalindole H biosynthesis","Other","Other"
"PWY-7958","12-epi-fischerindole biosynthesis","Other","Other"
"PWY-7959","12-epi-hapalindole biosynthesis","Other","Other"
"PWY-7960","rhabduscin biosynthesis","Other","Other"
"PWY-7961","phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-7962","adenosylcobinamide-GDP biosynthesis from cobyrinate a,c-diamide","Other","Other"
"PWY-7963","4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-7964","adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Other","Other"
"PWY-7965","2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Other","Other"
"PWY-7966","5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Other","Other"
"PWY-7967","5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Other","Other"
"PWY-7968","5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Other","Other"
"PWY-7969","5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Other","Other"
"PWY-7970","benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Other","Other"
"PWY-7971","adenosylcobinamide-GDP salvage from cobinamide I","Other","Other"
"PWY-7972","adenosylcobinamide-GDP salvage from cobinamide II","Other","Other"
"PWY-7974","cobalamin salvage (eukaryotic)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7975","adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7976","sulfur reduction III","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-7977","L-methionine biosynthesis IV","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-7978","N-methylpyrrolidone degradation","Other","Other"
"PWY-7979","protein O-mannosylation III (mammals, core M3)","Other","Other"
"PWY-7980","ATP biosynthesis","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-7981","&alpha;-dystroglycan glycosylation","Other","Other"
"PWY-7982","pinoresinol degradation","Other","Other"
"PWY-7983","pseudomonine biosynthesis","Other","Other"
"PWY-7984","acinetobactin biosynthesis","Other","Other"
"PWY-7985","oxalate degradation VI","Other","Other"
"PWY-7986","anguibactin biosynthesis","Other","Other"
"PWY-7987","vanchrobactin biosynthesis","Other","Other"
"PWY-7988","baumannoferrin biosynthesis","Other","Other"
"PWY-7989","acinetoferrin biosynthesis","Other","Other"
"PWY-7990","staphyloferrin A biosynthesis","Other","Other"
"PWY-7991","toxoflavin biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7992","superpathway of menaquinol-8 biosynthesis III","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7993","&beta;-dihydromenaquinone-9 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7994","dolabralexins biosynthesis","Other","Other"
"PWY-7995","tricin biosynthesis","Other","Other"
"PWY-7996","menaquinol-4 biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7997","demethylmenaquinol-4 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7998","menaquinol-4 biosynthesis II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-7999","vitamin K-epoxide cycle","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8000","vitamin K degradation","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8001","felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis","Other","Other"
"PWY-8002","4-coumarate degradation (aerobic)","Other","Other"
"PWY-8003","trans-caffeate degradation (aerobic)","Other","Other"
"PWY-8004","Entner-Doudoroff pathway I","Energy / central carbon metabolism","Energy metabolism"
"PWY-8006","plant arabinogalactan type II degradation","Other","Other"
"PWY-8007","staphylopine biosynthesis","Other","Other"
"PWY-8008","staphyloferrin B biosynthesis","Other","Other"
"PWY-8009","L-cysteine biosynthesis VIII (Thermococcus kodakarensis)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-801","homocysteine and cysteine interconversion","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8010","L-cysteine biosynthesis IX (Trichomonas vaginalis)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8011","L-serine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8012","mupirocin biosynthesis","Other","Other"
"PWY-8013","UDP-N-acetyl-D-galactosamine biosynthesis III","Other","Other"
"PWY-8014","L-phenylalanine degradation VI (reductive Stickland reaction)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8015","glycine degradation (reductive Stickland reaction)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8016","L-tyrosine degradation V (reductive Stickland reaction)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8017","L-tryptophan degradation XIII (reductive Stickland reaction)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8018","itaconate biosynthesis II","Other","Other"
"PWY-8019","2-hydroxyparaconate and itatartarate biosynthesis","Other","Other"
"PWY-8020","D-xylose degradation V","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-8022","salmochelin degradation","Other","Other"
"PWY-8023","salmochelin biosynthesis","Other","Other"
"PWY-8024","4-hydroxyindole-3-carbonyl nitrile biosynthesis","Other","Other"
"PWY-8025","cyanuric acid degradation I","Other","Other"
"PWY-8026","sterol biosynthesis (methylotrophs)","Other","Other"
"PWY-8027","parkeol biosynthesis","Other","Other"
"PWY-8028","cycloartenol biosynthesis","Other","Other"
"PWY-8029","limonene degradation IV (anaerobic)","Other","Other"
"PWY-8030","coptisine biosynthesis","Other","Other"
"PWY-8031","epiberberine biosynthesis","Other","Other"
"PWY-8032","chloramphenicol biosynthesis","Other","Other"
"PWY-8033","aureothin biosynthesis","Other","Other"
"PWY-8034","spectinabilin biosynthesis","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-8035","streptovaricin biosynthesis","Other","Other"
"PWY-8036","chaxamycin biosynthesis","Other","Other"
"PWY-8037","saliniketal A biosynthesis","Other","Other"
"PWY-8038","naphthomycin biosynthesis","Other","Other"
"PWY-8039","mitomycin biosynthesis","Other","Other"
"PWY-804","glycolate degradation II","Other","Other"
"PWY-8040","ansatrienin biosynthesis","Other","Other"
"PWY-8041","ultra-long-chain fatty acid biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8042","acylceramide biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8043","ophthalmate biosynthesis","Other","Other"
"PWY-8044","cyclohexane-1-carboxyl-CoA biosynthesis","Other","Other"
"PWY-8045","cylindrospermopsin biosynthesis","Other","Other"
"PWY-8047","bryostatin biosynthesis","Other","Other"
"PWY-8049","pederin biosynthesis","Other","Other"
"PWY-8051","anandamide biosynthesis I","Other","Other"
"PWY-8052","2-arachidonoylglycerol biosynthesis","Other","Other"
"PWY-8053","anandamide biosynthesis II","Other","Other"
"PWY-8055","palmitoyl ethanolamide biosynthesis","Other","Other"
"PWY-8056","anandamide lipoxygenation","Other","Other"
"PWY-8057","pyruvoyl group formation from L-serine","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8058","2-deoxy-D-ribose degradation II","Other","Other"
"PWY-8060","2-deoxy-D-ribose degradation I","Other","Other"
"PWY-8061","8-oxo-(d)GTP detoxification II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-8062","sulfoacetaldehyde degradation IV","Other","Other"
"PWY-8063","flavin-N5-oxide biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8064","sodorifen biosynthesis","Other","Other"
"PWY-8065","chlorpyrifos degradation","Other","Other"
"PWY-8066","methylphosphonate degradation III","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-8067","methylphosphonate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-8069","nepetalactone biosynthesis","Other","Other"
"PWY-8071","N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis","Other","Other"
"PWY-8072","alanine racemization","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8073","lipid IVA biosynthesis (P. putida)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8074","Kdo transfer to lipid IVA IV (P. putida)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8075","(Kdo)2-lipid A biosynthesis II (P. putida)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8076","8-O-methylated benzoxazinoid glucoside biosynthesis","Other","Other"
"PWY-8077","ginkgotoxin biosynthesis","Other","Other"
"PWY-8078","quebrachitol biosynthesis","Other","Other"
"PWY-8080","kainate biosynthesis","Other","Other"
"PWY-8081","leucine-derived hydroxynitrile glucoside biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8082","glycine lipid biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8083","domoic acid biosynthesis","Other","Other"
"PWY-8084","daurichromenate biosynthesis","Other","Other"
"PWY-8085","picolinate degradation","Other","Other"
"PWY-8086","(S)-lactate fermentation to propanoate, acetate and hydrogen","Energy / central carbon metabolism","Energy metabolism"
"PWY-8087","indole-3-acetate degradation II","Other","Other"
"PWY-8088","dipicolinate biosynthesis","Other","Other"
"PWY-8089","D-apiose degradation I","Other","Other"
"PWY-8090","D-apionate degradation II (RLP decarboxylase)","Other","Other"
"PWY-8091","D-apionate degradation I (xylose isomerase family decarboxylase)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-8092","D-apionate degradation III (RLP transcarboxylase/hydrolase)","Other","Other"
"PWY-8093","D-apiose degradation II (to D-apionate)","Other","Other"
"PWY-8094","superpathway of kavalactone biosynthesis","Other","Other"
"PWY-8095","5-methoxy-6-methylbenzimidazole biosynthesis (anaerobic)","Other","Other"
"PWY-8096","5-methoxybenzimidazole biosynthesis (anaerobic)","Other","Other"
"PWY-8097","5-hydroxybenzimidazole biosynthesis (anaerobic)","Other","Other"
"PWY-8098","cyclic 2,3-bisphosphoglycerate biosynthesis","Other","Other"
"PWY-8099","tetrahydropteridine recycling","Other","Other"
"PWY-81","toluene degradation to benzoyl-CoA (anaerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-8100","crotonosine biosynthesis","Other","Other"
"PWY-8101","arsenate detoxification III (thioredoxin)","Stress / detoxification","Stress response"
"PWY-8103","kavain biosynthesis","Other","Other"
"PWY-8104","yangonin biosynthesis","Other","Other"
"PWY-8105","queuosine biosynthesis II (queuine salvage)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8106","queuosine biosynthesis III (queuosine salvage)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8107","methanogenesis from glycine betaine","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8108","glycine betaine degradation III","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8109","proline betaine degradation II","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8110","L-dopa degradation II (bacterial)","Other","Other"
"PWY-8111","carbaryl degradation","Other","Other"
"PWY-8112","factor 420 biosynthesis I (archaea)","Other","Other"
"PWY-8113","3PG-factor 420 biosynthesis","Other","Other"
"PWY-8114","branched-chain polyamines biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8115","long-chain polyamine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8116","ochratoxin A biosynthesis","Other","Other"
"PWY-8117","colibactin biosynthesis","Other","Other"
"PWY-8118","patellamide A and C biosynthesis","Other","Other"
"PWY-8119","microcin B17 biosynthesis","Other","Other"
"PWY-8120","&beta;-alanine degradation III","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8121","2-deoxy-D-glucose 6-phosphate degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-8122","mycofactocin biosynthesis","Other","Other"
"PWY-8124","(2-trimethylamino)ethylphosphonate degradation","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-8125","mevalonate pathway IV (archaea)","Other","Other"
"PWY-8126","chlorophyll a2 biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-8127","chlorophyll b2 biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-8128","biotin biosynthesis from 8-amino-7-oxononanoate III","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8129","cell-surface glycoconjugate-linked phosphonate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-8130","5'-deoxyadenosine degradation I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-8131","5'-deoxyadenosine degradation II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-8132","S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation III","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-8133","succinoglycan biosynthesis","Other","Other"
"PWY-8134","bile acid 7&beta;-dehydroxylation","Other","Other"
"PWY-8135","bile acids deconjugation","Other","Other"
"PWY-8136","NADPH repair (prokaryotes)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8137","NADPH repair (eukaryotes)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8138","polyphosphate metabolism","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-8139","CDP-6-deoxy-D-gulose biosynthesis","Other","Other"
"PWY-8140","serine racemization","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8141","9-decynoate biosynthesis","Other","Other"
"PWY-8142","L-ascorbate biosynthesis VI (plants, myo-inositol pathway)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-8143","L-ascorbate biosynthesis VII (plants, D-galacturonate pathway)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-8145","cytochrome c biogenesis (system III type)","Other","Other"
"PWY-8146","cytochrome c biogenesis (system II type)","Other","Other"
"PWY-8147","cytochrome c biogenesis (system I type)","Other","Other"
"PWY-8148","NADP biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8149","homospermidine biosynthesis II","Other","Other"
"PWY-8151","cholesterol degradation to androstenedione III (anaerobic)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8152","androsrtendione degradation II (anaerobic)","Other","Other"
"PWY-8154","superpathway of cholesterol degradation III (oxidase)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8155","testosterone degradation (anaerobic)","Other","Other"
"PWY-8156","omphalotin biosynthesis","Other","Other"
"PWY-8157","avenanthramide biosynthesis","Other","Other"
"PWY-8158","ibotenate and muscimol biosynthesis","Other","Other"
"PWY-8159","dipyrromethane cofactor biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8161","D-phenylglycine degradation","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-8162","phenylethanol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-8163","cytidylyl copper-molybdenum cofactor biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8164","bis(guanylyl molybdopterin) cofactor sulfurylation","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8165","cytidylyl molybdenum cofactor sulfurylation","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8166","emodin biosynthesis","Other","Other"
"PWY-8167","bis(tungstenpterin) cofactor biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8168","bis(guanylyl tungstenpterin) cofactor biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8171","molybdenum cofactor biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-8172","10-methylstearate biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8173","anteiso-branched-chain fatty acid biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8174","odd iso-branched-chain fatty acid biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8175","even iso-branched-chain fatty acid biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-8176","geraniol biosynthesis (cytosol)","Other","Other"
"PWY-8177","nerol biosynthesis","Other","Other"
"PWY-8178","pentose phosphate pathway (non-oxidative branch) II","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-8179","platensimycin biosynthesis","Other","Other"
"PWY-8180","acrylate degradation II","Other","Other"
