"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"d13ad181e72cd1b01bcc0544a476073a","Wet",0.490414446273684,0.001,0.005671875,"Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"5190bee4f8815531b8d01b16784da180","Wet",0.490414446273684,0.001,0.005671875,"Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","cvE6"
"e4ccbfa4607c4e1506e34d2a402f8fb1","Wet",0.490414446273684,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum"
"7f059b825ee5f933bf0be53ea9581e52","Wet",0.490414446273684,0.001,0.005671875,"Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"0abcc93a26d9dc92163ed57dd5780a5a","Wet",0.490414446273684,0.001,0.005671875,"Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","RBG-16-49-21"
"eeec22afbaf410cb6a8ee9a4cc8e98bb","Wet",0.490414446273684,0.001,0.005671875,"Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","",""
"06f52da4a4f4d4afb90c0a676554e923","Wet",0.490414446273684,0.001,0.005671875,"Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","uncultured"
"0a0fb822a862796a3c317d7a32773988","Wet",0.490414446273684,0.002,0.00977119784656797,"Firmicutes","Clostridia","Clostridia","Gracilibacteraceae",""
"a868ab308b9fcee8d2448672bc1d3ef2","Wet",0.490414446273684,0.002,0.00977119784656797,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"5f8609a65a8b24bd51e5d73d5c4aa2d4","Wet",0.490414446273684,0.004,0.0169033760186263,"Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria"
"f388c35a6c443cccbdb61f5c1c6e431b","Wet",0.489903285222796,0.003,0.0135111662531017,"Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group"
"146d075629aaa442eb695fd678127ecd","Dry",0.489338722780367,0.011,0.0358116591928251,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea"
"91e8283a7f95cd829f2fb4c27847a061","Wet",0.488872180772306,0.001,0.005671875,"Bacteroidota","Bacteroidia","SM1A07","SM1A07","SM1A07"
"1f1d5bc79b81b3526b78a483192a0545","Wet",0.486504335513033,0.006,0.0231455897980871,"Actinobacteriota","Acidimicrobiia","Actinomarinales","uncultured","uncultured"
"c2dd2d075d7da643b52d46f8a14f6ad2","Wet",0.485696256829017,0.001,0.005671875,"Bacteroidota","Ignavibacteria","SJA-28","SJA-28","SJA-28"
