"ASV","rho","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"fdb0d4aa1d2c914f92d1d933d0d07664",0.0140991970017957,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apiosordaria","Apiosordaria_sp"
"42551b4639aff66a99540d847c077369",-0.124627528068504,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium",""
"8efd5c16c20117e065b270a2c671b98f",-0.357830925319459,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Tetracladium","Tetracladium_sp"
"6a68c24698211d69cd420e0aa0c773c7",-0.175294553619357,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_floriforme"
"80ae0d452c3649b08e308c50d2981319",-0.117385023774848,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_psychrotolerans"
"0e0371d2cdeb6bd83ef2e4ab0e7d59c3",-0.127577136617575,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Tetrapyrgos","Tetrapyrgos_atrocyanea"
"4082ec400fad6283685b299998e9d1d2",-0.119692081559165,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_andiyazi"
"2c22b6e8097a4ba8b7bb5a3689479cad",-0.14755832726565,"Fungi","Ascomycota","Dothideomycetes","Minutisphaerales","Minutisphaeraceae","Minutisphaera","Minutisphaera_sp"
"04762bb6f9639b431bd6bfbe4bf58fd9",-0.0546156667503336,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Striaticonidium","Striaticonidium_brachysporum"
"a3b0c8c314608689716b58e3fb7d9e6f",-0.0394329331363413,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","",""
"5dcaad4f3d7ea69acaa5440c14f251c9",0.197249609903584,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pseudomassarinaceae","Pseudomassarina","Pseudomassarina_clematidis"
"0b55ac614e7abb5e10a30f3fa71e3861",0.0334582462975017,"Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Mirandina","Mirandina_sp"
"d1af6280453d7af3784d43dde46c43ba",-0.126945412469313,"Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","Myrmecridium_schulzeri"
"d35d1562311d4cf450a642426b963521",0.339262430881827,"Fungi","","","","","",""
"4c99c1540f81dc41325414a95354c52e",0.20932491065958,"Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","Archaeorhizomyces_sp"
"7a9bae337c635dd97866b383d7dc3f7c",0.00439492889911605,"Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Ophioceraceae","Ophioceraceae_gen_Incertae_sedis","Ophioceraceae_sp"
"50f1ff27bf28e7532003cb8782b7e861",0.244694358862689,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus_sp"
"99c48194bd1d3f83a14381666fcc6a4f",-0.00242271782890789,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Calloriaceae","Calloriaceae_gen_Incertae_sedis","Calloriaceae_sp"
"f44c621fc913e47f97b8cd4891675cd2",0.155130986509635,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","","",""
"cfcfd995dbc89e2ad840edea9d442509",0.557942030169753,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea",""
"7eb7c65cdcaa34253131e1c6f51731b4",0.00850158343188567,"Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis","Pezizomycotina_gen_Incertae_sedis","Pezizomycotina_sp"
"c3de67326a457822e25335604b0b075e",0.196180599614133,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus_irregularis"
"7e80bddac576bf30fd27a7656cbae8f6",-0.121842517478826,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Cladorrhinum",""
"a860ecea51ff1490fe8cf78debe72024",-0.0438857547831714,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Hypocreales_gen_Incertae_sedis","Hypocreales_sp"
"4bc96df48218aebc48495f59a04dcacf",-0.414127803437214,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Nectriella","Nectriella_adonidis"
"ab0b0303e96938cc94e1dc911dc65716",-0.178186248664216,"Fungi","","","","","",""
"7495fc5a3169530c804978de5872659c",0.122318700397539,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_mosseae"
"51775ae3f7b8c6ea66bc3d0ff50a4f1f",0.0785962713192695,"Fungi","Ascomycota","","","","",""
"5f5ef71f101f26c10d983dc64d0853ec",-0.0499062077126601,"Fungi","","","","","",""
"b2dac3812ae2705b153196c4edbcdb32",0.115956971298849,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora","Cercospora_sp"
"8ca021d1c882001daf600535628b87b2",-0.0913072729841485,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria_michotii"
"e8ac4868e541e58427971b675398cf9b",-0.165231454863247,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola_repens"
"0d7737e2f216713fd84751b3b0001959",0.078662296231015,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_merkxianum"
"4541010e26b024df3baa0706f3960fca",-0.304958159430838,"Fungi","Ascomycota","","","","",""
"27168fab1401bc08f00687edc97af6f6",0.506891096917888,"Fungi","Ascomycota","Sordariomycetes","Branch06","Branch06_fam_Incertae_sedis","Branch06_gen_Incertae_sedis","Branch06_sp"
