"OTU","Sample","Abundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Domain","Phylum"
"affc2ac2edb78f316243b0e74a694d53","21WLH1B",0.277488405280057,"Pot-21","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","68DLC2B",0.277219742063492,"Pot-68","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","3WLC1B",0.273470181924312,"Pot-3","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","2WLC1B",0.27282698108034,"Pot-2","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","4WLC1B",0.272441843870415,"Pot-4","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","62DLC1B",0.269033132222109,"Pot-62","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","52WHH1B",0.265719577197579,"Pot-52","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","51WHH1B",0.265222263728054,"Pot-51","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","98DHC2B",0.260755883052056,"Pot-98","Dry","High","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","83DLH2B",0.260158974774921,"Pot-83","Dry","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","66DLC1B",0.259546282987835,"Pot-66","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","82DLH2B",0.259345021501819,"Pot-82","Dry","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","86DLH1B",0.258198572590117,"Pot-86","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","2WLC2B",0.257993787684999,"Pot-2","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","28WLH1B",0.256533278889343,"Pot-28","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","83DLH1B",0.256060310651849,"Pot-83","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"fccd5b7afe391870624505cf6472e0b1","57WHH2B",0.256012866437605,"Pot-57","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Firmicutes"
"affc2ac2edb78f316243b0e74a694d53","3WLC2B",0.255606574831969,"Pot-3","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","114DHH2B",0.255254494808812,"Pot-114","Dry","High","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","97DHC2B",0.255198487712665,"Pot-97","Dry","High","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","6WLC1B",0.254336839229613,"Pot-6","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"87df14efae8b75990eaf7c2785573afd","33WHC2B",0.254269937074612,"Pot-33","Wet","High","Conspecific",2,"Bacteria","Bacteria","Desulfobacterota"
"affc2ac2edb78f316243b0e74a694d53","26WLH2B",0.252159679912703,"Pot-26","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","6WLC2B",0.251576243480968,"Pot-6","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
