"SampleID","Multi-trophic","Pathotroph","Saprotroph","Symbiotroph","Unassigned","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"61DLC2F",0.257090901903425,7.90623208744293e-05,0.360267230644556,0.287095052675271,0.0954677524558733,"Pot-61","Dry","Low","Conspecific",2,"Fungi"
"62DLC1F",0.456114231576098,0.00764701901603844,0.458990322798944,0.00145496379508696,0.0757934628138323,"Pot-62","Dry","Low","Conspecific",1,"Fungi"
"62DLC2F",0.714689622093757,0.000227198142024083,0.201751950117386,0.00161563123217126,0.0817155984146618,"Pot-62","Dry","Low","Conspecific",2,"Fungi"
"63DLC1F",0.126064943284163,0.000316440290151405,0.708242052480405,0.123436054719829,0.0419405092254515,"Pot-63","Dry","Low","Conspecific",1,"Fungi"
"63DLC2F",0.151394289892645,0.000116329311662844,0.765878951041978,0.0225512679894971,0.0600591617642171,"Pot-63","Dry","Low","Conspecific",2,"Fungi"
"64DLC1F",0.16092528915286,0.00337605501719287,0.11147233510472,0.41175367302282,0.312472647702407,"Pot-64","Dry","Low","Conspecific",1,"Fungi"
"64DLC2F",0.459812248547161,0.000983459991059455,0.340858292355834,0.0846669646848458,0.1136790344211,"Pot-64","Dry","Low","Conspecific",2,"Fungi"
"65DLC1F",0.0674305749637948,0.0427602327294901,0.562666734419066,0.00901953809802078,0.318122919789629,"Pot-65","Dry","Low","Conspecific",1,"Fungi"
"65DLC2F",0.167220075118393,0.0157040988514507,0.351205704643188,0.444885961569866,0.020984159817103,"Pot-65","Dry","Low","Conspecific",2,"Fungi"
"66DLC1F",0.292927837032766,0.0034111655616412,0.328673008551936,0.116267896608052,0.258720092245604,"Pot-66","Dry","Low","Conspecific",1,"Fungi"
"66DLC2F",0.562546652030736,0.012821075740944,0.0599780461031833,0.210845225027442,0.153809001097695,"Pot-66","Dry","Low","Conspecific",2,"Fungi"
"67DLC1F",0.399598759803028,0.00101612777155363,0.174278940100571,0.119850967926839,0.305255204398009,"Pot-67","Dry","Low","Conspecific",1,"Fungi"
"67DLC2F",0.172959159072279,0.00419499493707508,0.477602584502628,0.0577655624668499,0.287477699021168,"Pot-67","Dry","Low","Conspecific",2,"Fungi"
"68DLC1F",0.160423396797031,0.00109973194033954,0.368204000274933,0.237060966389443,0.233211904598254,"Pot-68","Dry","Low","Conspecific",1,"Fungi"
"68DLC2F",0.211644727975201,0.00157239768183656,0.135495754526259,0.473426479176962,0.177860640639741,"Pot-68","Dry","Low","Conspecific",2,"Fungi"
"69DLC1F",0.205597455052364,0.0190871072666833,0.360564034742824,0.299084962647889,0.115666440290238,"Pot-69","Dry","Low","Conspecific",1,"Fungi"
"69DLC2F",0.10076011220704,0.000361958193828613,0.692426024794136,0.116414804090128,0.0900371007148674,"Pot-69","Dry","Low","Conspecific",2,"Fungi"
"6WLC1F",0.0586769064942064,0,0.254917811910536,0.215507949339801,0.470897332255457,"Pot-6","Wet","Low","Conspecific",1,"Fungi"
"6WLC2F",0.0410188154153306,0.0119184463669913,0.0444068001693992,0.00592897331962006,0.896726964728659,"Pot-6","Wet","Low","Conspecific",2,"Fungi"
"70DLC1F",0.160262119862578,0.00178139712431607,0.339547016159817,0.311935360732918,0.186474106120372,"Pot-70","Dry","Low","Conspecific",1,"Fungi"
"70DLC2F",0.0957186937516071,0.000449987143224479,0.372653638467472,0.325019285163281,0.206158395474415,"Pot-70","Dry","Low","Conspecific",2,"Fungi"
"7WLC1F",0.241666666666667,0.0777604166666667,0.0917881944444444,0.00274305555555556,0.586041666666667,"Pot-7","Wet","Low","Conspecific",1,"Fungi"
"7WLC2F",0.292537753947563,0.050125436568449,0.250258251758572,0.00179546460721137,0.405283093118206,"Pot-7","Wet","Low","Conspecific",2,"Fungi"
"81DLH1F",0.0706644852756104,0.0292600050339794,0.256292474200856,0.236408255726152,0.407374779763403,"Pot-81","Dry","Low","Heterospecific",1,"Fungi"
"81DLH2F",0.0961527096507299,0.00384138053306542,0.343714910466284,0.353761598014302,0.202529401335618,"Pot-81","Dry","Low","Heterospecific",2,"Fungi"
"82DLH1F",0.210410031276004,0.0171587615850334,0.483917247711687,0.239419241915583,0.0490947175116926,"Pot-82","Dry","Low","Heterospecific",1,"Fungi"
"82DLH2F",0.2421143847487,0.000606585788561525,0.322010398613518,0.267417677642981,0.167850953206239,"Pot-82","Dry","Low","Heterospecific",2,"Fungi"
"83DLH1F",0.11757846662132,0.00553882032844233,0.516373530269167,0.19580215722476,0.164707025556311,"Pot-83","Dry","Low","Heterospecific",1,"Fungi"
"83DLH2F",0.199556541019956,0.00320275930032028,0.0950973146095097,0.576250307957625,0.125893077112589,"Pot-83","Dry","Low","Heterospecific",2,"Fungi"
"84DLH1F",0.21192458374143,0.00110186092066601,0.175930460333007,0.196253672869736,0.414789422135162,"Pot-84","Dry","Low","Heterospecific",1,"Fungi"
"84DLH2F",0.152703969990622,0.000312597686777118,0.549077836824007,0.00718974679587371,0.29071584870272,"Pot-84","Dry","Low","Heterospecific",2,"Fungi"
"85DLH1F",0.136345852895149,0.000156494522691706,0.15575117370892,0.0578247261345853,0.649921752738654,"Pot-85","Dry","Low","Heterospecific",1,"Fungi"
"85DLH2F",0.245236882322975,0.000509424350483953,0.38665308201732,0.053998981151299,0.313601630157922,"Pot-85","Dry","Low","Heterospecific",2,"Fungi"
"86DLH1F",0.0852809547488812,0.002817835239516,0.229073429471242,0.376512514503564,0.306315266036798,"Pot-86","Dry","Low","Heterospecific",1,"Fungi"
"86DLH2F",0.361605651281562,0.00420027683642786,0.47200610949358,0.0195694716242661,0.142618490764164,"Pot-86","Dry","Low","Heterospecific",2,"Fungi"
"87DLH1F",0.108991494532199,0.00300729040097205,0.671658566221142,0.103250303766707,0.113092345078979,"Pot-87","Dry","Low","Heterospecific",1,"Fungi"
"87DLH2F",0.173503033500396,0.00323133737800053,0.444242943814297,0.22438011078871,0.154642574518597,"Pot-87","Dry","Low","Heterospecific",2,"Fungi"
"88DLH1F",0.391441664602428,0.00260094129303939,0.0602551399554124,0.0580876888778796,0.487614565271241,"Pot-88","Dry","Low","Heterospecific",1,"Fungi"
"88DLH2F",0.247518111081299,0.00125212413916465,0.118459887308827,0.0772292281549056,0.555540649315804,"Pot-88","Dry","Low","Heterospecific",2,"Fungi"
"89DLH1F",0.425498239607222,0.00029070706418166,0.28757388804548,0.0702865079621435,0.216350657320973,"Pot-89","Dry","Low","Heterospecific",1,"Fungi"
"89DLH2F",0.294951686555491,0.00756868582385145,0.257890354971365,0.158740570678911,0.280848701970381,"Pot-89","Dry","Low","Heterospecific",2,"Fungi"
"8WLC1F",0.0823255661521319,0.000491593746927539,0.220496181955232,0.000491593746927539,0.696195064398781,"Pot-8","Wet","Low","Conspecific",1,"Fungi"
"8WLC2F",0.0281705700397702,0,0.806893504197967,0.00147297098247165,0.163462954779791,"Pot-8","Wet","Low","Conspecific",2,"Fungi"
"90DLH1F",0.518204697986577,0.000629194630872483,0.279781879194631,0.00788590604026846,0.193498322147651,"Pot-90","Dry","Low","Heterospecific",1,"Fungi"
"90DLH2F",0.381658575513733,0,0.362771829487265,0.0824632572986633,0.173106337700339,"Pot-90","Dry","Low","Heterospecific",2,"Fungi"
"96DHC1F",0.283742408271847,0,0.286804196155198,0.166390603824725,0.263062791748231,"Pot-96","Dry","High","Conspecific",1,"Fungi"
"96DHC2F",0.173329871928003,0,0.673329871928003,0.0610072689511942,0.0923329871928003,"Pot-96","Dry","High","Conspecific",2,"Fungi"
"97DHC1F",0.34588210481915,0.000949066751028156,0.234630391226405,0.0972266160497733,0.321311821153643,"Pot-97","Dry","High","Conspecific",1,"Fungi"
"97DHC2F",0.457956121034173,0.00228366364896827,0.368403882228203,0.032134409917625,0.13922192317103,"Pot-97","Dry","High","Conspecific",2,"Fungi"
"98DHC1F",0.226409179258888,0.00075239826948398,0.164900620728572,0.157313938177942,0.450623863565114,"Pot-98","Dry","High","Conspecific",1,"Fungi"
"98DHC2F",0.209884365594804,0.00126722635830825,0.295897354664977,0.321558688420719,0.171392364961191,"Pot-98","Dry","High","Conspecific",2,"Fungi"
"9WLC1F",0.206510681586979,0.0700237368599525,0.194303153611394,0.0213631739572737,0.507799253984402,"Pot-9","Wet","Low","Conspecific",1,"Fungi"
"9WLC2F",0.224911261697322,0.168441432720232,0.138431752178122,0.0229106163278477,0.445304937076476,"Pot-9","Wet","Low","Conspecific",2,"Fungi"
