"OTU","Sample","Abundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Kingdom","Phylum"
"e3ac9f3a8e9420c5646705867fdd9409","67DLC2F",0.960027002266262,"Pot-67","Dry","Low","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","68DLC1F",0.955873255893876,"Pot-68","Dry","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","88DLH1F",0.950829824126827,"Pot-88","Dry","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","21WLH1F",0.950743173176633,"Pot-21","Wet","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","6WLC1F",0.950417677175963,"Pot-6","Wet","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","39WHC2F",0.949621989919731,"Pot-39","Wet","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","61DLC1F",0.949099698731871,"Pot-61","Dry","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","63DLC1F",0.948420232705321,"Pot-63","Dry","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","81DLH2F",0.947816322912357,"Pot-81","Dry","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","60WHH2F",0.94643716255947,"Pot-60","Wet","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","57WHH1F",0.941137493097736,"Pot-57","Wet","High","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","30WLH2F",0.937594635518062,"Pot-30","Wet","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","26WLH1F",0.936092115848753,"Pot-26","Wet","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","55WHH2F",0.93338148683187,"Pot-55","Wet","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","29WLH1F",0.932840616966581,"Pot-29","Wet","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","35WHC2F",0.930737527114967,"Pot-35","Wet","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","62DLC1F",0.928842119510049,"Pot-62","Dry","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","36WHC2F",0.928387886615275,"Pot-36","Wet","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","9WLC1F",0.922516107154968,"Pot-9","Wet","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","70DLC1F",0.921300419900751,"Pot-70","Dry","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","37WHC1F",0.919979265882658,"Pot-37","Wet","High","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","22WLH1F",0.919940990213011,"Pot-22","Wet","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","31WHC2F",0.915904164508642,"Pot-31","Wet","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","32WHC2F",0.913277623026927,"Pot-32","Wet","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","90DLH2F",0.911119239209949,"Pot-90","Dry","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","5WLC2F",0.908975602477057,"Pot-5","Wet","Low","Conspecific",2,"Fungi","Fungi","Ascomycota"
