ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
e86480095aefb655f6e13084eeb1ca57,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeriaceae_gen_Incertae_sedis,Teratosphaeriaceae_sp
99f427ae78765ce0f352ac13d6306da9,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Oliveoniaceae,Oliveonia,Oliveonia_sp
36bb0aa45605bf6b5623535aee861b16,Fungi,Ascomycota,Sordariomycetes,,,,
d15539e7d1f5dcada02f3e189d7e0353,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Laburnicola,Laburnicola_sp
4ffee3875ab15a38f19699e2be1ce9e3,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,
f33782bbac6465aeba1b70812d4d552a,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Apiosordaria,Apiosordaria_sp
80f469bec54d66d0d62438ce8818c6b8,Fungi,,,,,,
cbf068b0d7b0efb86ac59b0b067ed47f,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
ecf77452f203c97d6d4810039694d49e,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Ramularia,
0d3b5198193d30302f32e1ee29c21fb9,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,Ophiosphaerella_narmari
161ae4b635f9294f23b4de5cd064ec0a,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_humuli
b9eba8d78548d902f6bedb67ba27d20f,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Apiosordaria,Apiosordaria_sp
86bbac70556f3fdf43718a7a8609da19,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
a82ba8177d25949d9029e590b43e616a,Fungi,,,,,,
f73dc0aea640c40a0647f844cd595e5f,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Apiosordaria,Apiosordaria_sp
a83ab6d14959f15b7efed5020e0624f3,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp
8a4b06514300a4895d07fc0c517418fa,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp
8d4425d7b020fb3813f0170fd762dd8b,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Paulisebacina,Paulisebacina_allantoidea
4b4db96b5fccaf944a14c2033e3dc969,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizales_fam_Incertae_sedis,Pezizales_gen_Incertae_sedis,Pezizales_sp
c9dba5963ac27ab6116672e414209c20,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
8b590c3a35e1275aa14cccbc609788f0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_inaequalis
6de6ab0aa50f9333302615248a1f56dc,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Macrophomina,Macrophomina_sp
02529e51c3960e94cebebd7167de9091,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_sp
cf49190863c67052e294bc560608f15d,Fungi,Ascomycota,,,,,
9d573ea34130eb348ecbea9ae4d49c23,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_sp
b063b88fc62067e649e6465093e6289b,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,,
3d5dd4af0b00d9b82c1431e26dd15c75,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,Podospora_sp
09f9cdc61da57b8c1d4a8f9a8e530bc7,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella,Hirsutella_minnesotensis
5a7a6b54f4b1ab0925908b58e4c3d010,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_panaeoloides
